DATE,CPILFESL_PC1
2000-01-01,2.23951
2000-04-01,2.39894
2000-07-01,2.53664
2000-10-01,2.57848
2001-01-01,2.65454
2001-04-01,2.63789
2001-07-01,2.65714
2001-10-01,2.71403
2002-01-01,2.53165
2002-04-01,2.42631
2002-07-01,2.26705
2002-10-01,2.05710
2003-01-01,1.83422
2003-04-01,1.49149
2003-07-01,1.36149
2003-10-01,1.16421
2004-01-01,1.31625
2004-04-01,1.78077
2004-07-01,1.80816
2004-10-01,2.16420
2005-01-01,2.30769
2005-04-01,2.14031
2005-07-01,2.04668
2005-10-01,2.10155
2006-01-01,2.10526
2006-04-01,2.46133
2006-07-01,2.81784
2006-10-01,2.66754
2007-01-01,2.62690
2007-04-01,2.28810
2007-07-01,2.11930
2007-10-01,2.31034
2008-01-01,2.38809
2008-04-01,2.33625
2008-07-01,2.46667
2008-10-01,1.99951
2009-01-01,1.75369
2009-04-01,1.82999
2009-07-01,1.48027
2009-10-01,1.75022
2010-01-01,1.34009
2010-04-01,0.95261
2010-07-01,0.89634
2010-10-01,0.64557
2011-01-01,1.10595
2011-04-01,1.45118
2011-07-01,1.89818
2011-10-01,2.17432
2012-01-01,2.22848
2012-04-01,2.25290
2012-07-01,2.01773
2012-10-01,1.94900
2013-01-01,1.92917
2013-04-01,1.66135
2013-07-01,1.74478
2013-10-01,1.72315
2014-01-01,1.60251
2014-04-01,1.89651
2014-07-01,1.77404
2014-10-01,1.72710
2015-01-01,1.68842
2015-04-01,1.77700
2015-07-01,1.86081
2015-10-01,1.99420
2016-01-01,2.17000
2016-04-01,2.22453
2016-07-01,2.25004
2016-10-01,2.18236
2017-01-01,2.17701
2017-04-01,1.77746
2017-07-01,1.64248
2017-10-01,1.75581
2018-01-01,1.96396
2018-04-01,2.22308
2018-07-01,2.19534
2018-10-01,2.19684
2019-01-01,2.09910
2019-04-01,2.07022
2019-07-01,2.29405
2019-10-01,2.30326
2020-01-01,2.26085
2020-04-01,1.29050
2020-07-01,1.64782
2020-10-01,1.63948
2021-01-01,1.45281
2021-04-01,3.71856
2021-07-01,4.04780
2021-10-01,5.03049
2022-01-01,6.31882
2022-04-01,6.01406
2022-07-01,6.27814
2022-10-01,5.99126
2023-01-01,5.55878
2023-04-01,5.24069
